,Service Information
Meter \#,61971446
Current Meter Reading,"10,089"
Prior Meter Reading,"8,403"
Difference,"1,686"
Multiplier,1.060908
Total Usage,"1,789.000000 Therm"
Baseline Territory,X
Serial,S
Gas Procurement Costs (\$/Therm),
11/15/2022 - 11/30/2022,$\$ 0.93988$
12/01/2022 - 12/13/2022,$\$ 0.98040$
