20984,,,,,,Actual
20986,,,,,,
20987,,,,,,
20988,,,,,,
20989,,,,,,
Service Address:,,,,,,
2862 Milor Dr,,,,,,
Plymouth IN 46563-8094,,,,,,
Meter Readings - 30 Billing Days,,,,,,
Actual Reading on 04/26,,72743,,,,
Actual Reading on 05/27,-,79864,,,,
Difference,,839,,,,
Correction Factor,,,,,,
Gas Used (Ccf),,"1,140",,,,
Conversion to Therms,,4,"1,020",,,
Total Gas Used (Therms),,"1,172",,,,
