Read,Meter,Load,Reading,Meter Reading,,,
Date,Number,Type,Type,Previous,Present,Mult x,Usage
09/02/2016,141758486,General Service,Off Pk kWh,ACT,ACT,,"398,514.60"
09/02/2016,141758486,General Service,On Pk kW,ACT,ACT,,"1,719.36"
09/02/2016,141758486,General Service,Total kWh,ACT,ACT,,"784,502.28"
