,,,,,,,,,,,Average Daily Gas Use (Therms),,
20,10,30,50,2240,2730,3920,3570,2160,2070,520,0,0
JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY,JUN,JUL
$75^{\circ}$,$76^{\circ}$,$74^{\circ}$,$66^{\circ}$,$45^{\circ}$,$38^{\circ}$,$28^{\circ}$,$25^{\circ}$,$41^{\circ}$,$46^{\circ}$,$63^{\circ}$,$74^{\circ}$,$76^{\circ}$
