TYPE OF,METER,SERVICE,NO.,METER READING,,READING,METER,THERM,
READING,NUMBER,FROM TO,DAYS,PREVIOUS,PRESENT,DIFERENCE,MULTIPLIER,FACTOR,USAGE D
Total Therm,5TC89212,05/25-06/23 29,,48167.0000,48167.0000,0.0000,10.0000,1.00000,0.0000 A
,Service To,,,SUMMARY,,Service To,,,
Total Therms,,06/23/2022,,0.0000,,,,,
