Buyer:,Hudson Data Center,Seller:,"Direct Energy Business, LLC"
By:,Michael maranda,By:,
Name:,Michael Maranda,Name:,
Title:,Owner,Title:,
Date:,12/02/2020,Date:,
,,Contract ID:,1131594
,,Internal ID:,00014345
