"6138 South Woodlawn Avenue, CHICAGO, IL",PEOPLES,No,0500030175009,RG- <br> 213212,Market Price,Storage Release with annual capacity election at 16 days or more
"1312 East 62nd Street, CHICAGO, IL",PEOPLES,No,9500019464984,$\begin{aligned} & \text { RG- } \\ & 213213 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"5637 South Lake Park Avenue, CHICAGO, IL",PEOPLES,No,7500074975631,$\begin{aligned} & \text { RG- } \\ & 213214 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"4655 South Lake Park Avenue, CHICAGO, IL",PEOPLES,No,8500044104602,$\begin{aligned} & \text { RG- } \\ & 213215 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"845 West Sunnyside Avenue, CHICAGO, IL",PEOPLES,No,0500038138578,$\begin{aligned} & \text { RG- } \\ & 213216 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"820 West Agatite Avenue, CHICAGO, IL",PEOPLES,No,0500038138474,$\begin{aligned} & \text { RG- } \\ & 213217 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"4631 South Lake Park Avenue, CHICAGO, IL",PEOPLES,No,6500044501734,$\begin{aligned} & \text { RG- } \\ & 213218 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"4121 South Ellis Avenue, CHICAGO, IL",PEOPLES,No,1500048850977,$\begin{aligned} & \text { RG- } \\ & 213219 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"6311 North Glenwood Avenue, CHICAGO, IL",PEOPLES,No,0500057298761,$\begin{aligned} & \text { RG- } \\ & 213221 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"811 East 46th Street, CHICAGO, IL",PEOPLES,No,8500043050350,$\begin{aligned} & \text { RG- } \\ & 213222 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"6711 North Maplewood Avenue, CHICAGO, IL",PEOPLES,No,9500059449100,$\begin{aligned} & \text { RG- } \\ & 213223 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
"4011 South Ellis Avenue, CHICAGO, IL",PEOPLES,No,8500043050543,$\begin{aligned} & \text { RG- } \\ & 213224 \end{aligned}$,Market Price,Storage Release with annual capacity election at 16 days or more
