UDC,UDC Account Number,Service Address,Start Date,End Date,Retail <br> Service <br> Price <br> (\$kWh)
CLP,51272702010510083006,"2 Forbes St, East Hartford, CT 06108",06/19/25,06/18/26,\$0.02855
CLP,51878842046109171007,"2 FORBES ST, EAST HARTFORD, CT 06108-3727",06/23/25,06/20/26,\$0.02855
CLP,51892702010014704004,"2 Forbes St, East Hartford, CT 06108",06/27/25,06/26/26,\$0.02855
CLP,51892702010289034003,"2 Forbes St, East Hartford, CT 06108",06/27/25,06/26/26,\$0.02855
CLP,51892702010616034006,"2 Forbes St, East Hartford, CT 06108",06/27/25,06/26/26,\$0.02855
