UDC,UDC Account Number,Service Address,Start Date,End Date,Energy Price <br> Non TOU <br> (\$/kWh)
WPP,08055228570007190056,"2820 E COLLEGE AVE, STATE COLLEGE, PA 168017515",$11 / 21 / 19$,$11 / 19 / 23$,$\$ 0.04010$
WPP,08055228570007190090,"2820 E COLLEGE AVE, STATE COLLEGE, PA 168017515",$10 / 28 / 19$,$10 / 26 / 23$,$\$ 0.04010$
