,,METER READING,,,,,
READ DATE,METER NO.,LOAD TYPE,READING TYPE,PREVIOUS,PRESENT,MULTIPLY X,USAGE
08/01/2018,230138664,General Service,Pk kW,Actual,Actual,,"515,616"
08/01/2018,230138664,General Service,Total kWh,Actual,Actual,,"255,993,584"
