Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,17.200 kW x \$5.302907
The highest Measured Demand in any time period in the current month.,\$91.21
Summer Demand 17.200 kW x \$10.038372,\$172.66
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"4,652 kWh x \$0.011148"
"Societal Benefits 4,652 kWh x \$0.010413",\$48.44
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,\$369.21
Supply charges,
BGS Capacity,
Generation 8.358 kW x \$1.740847,\$14.55
Transmission 7.550 kW x \$13.294040,\$100.37
Cost of electric supplied by PSE\&G:,
Charges,
"For the first 1,395 kWh x \$0.073247",\$102.18
"For the next 3,257 kWh x \$0.064562",\$210.28
Total electric supply charges,\$427.38
Total electric charges,\$796.59
