Description,Term,MMBtu,Price,Cost
Basis Hedge,09/01/2022 - 09/30/2022,0,"\$15,8650",\$0.00
Excess Gas,09/01/2022 - 09/30/2022,"3,593","\$9,537426","\$34,267.97"
Totals:,,"3,593",,"\$34,267.97"
,Other Charges,,,
Description,Taxable Rate,,,Cost
City of Carson Utility Users Tax,$2.0 \%$,,,\$685.36
Totals:,,,,\$685.36
Total Account Charges:,,,,"\$34,953.33"
