Svc Addr: TRAFFIC SIGNALS BERLIN GT 06037,,,,,
Rate 115 Serv Rel: 486512004,,,Bill Cycle: 20,,
Service From: 12/01/23 - 01/02/24,,,32 Days,,
Number of Devices,,,Unmetered Usage,,
0017,,,"2,802 kWh",,
