UDC,UDC Account Number,Service Address,Start <br> Date,End <br> Date,Retail <br> Service <br> Price <br> (\$kWh)
COMED,1528362077,"1130 N Dearborn St, Chicago, IL <br> 60610",$12 / 06 / 23$,$12 / 05 / 27$,$\$ 0.02337$
COMED,3715703015,"SHOP 75 W Elm ST, Chicago, IL <br> 60610",$12 / 06 / 23$,$12 / 05 / 27$,$\$ 0.02337$
