,Direct Energy Business,,,,,,,,,,,,,
CURRENT READINGS,,,,,,,,,,,,,,
Type,Start,End,Num,Begin,End,Meter,,,Energy,TDSP,AGG,,,
Date,Date,Date,Days,Read,Read,Multi,kWh,kw,PF,Charges,Fee,PUC,GRT,Other
ESIID: 10443720007434257,,,,,,,,,,,,,,
,"Metered: 1826106171,G",,,,,,,,,,,,,
ESIID: 10443720007434257,"Metered: 1826106171,G",,,,,,,,,,,,,
