Case Usage History,,,
Month,Therm,Month,Therm
Mar 17,3096,Oct 17,2794
Apr 17,3303,Nov 17,2998
May 17,3190,Dec 17,3410
Jun 17,3105,Jan 18,4260
Jul 17,3147,Feb 18,3860
Aug 17,2542,Mar 18,3414
Sep 17,2878,,
