Monthly service charge,$\$ 179.66$
Charges for delivering gas to you:,
"For the First 1,000,000 therms $\times \$ 0.012670$",$\$ 12.67$
"For the Next 9,811.487 therms $\times \$ 0.030850$",$\$ 302.68$
Demand 472.807 therms $\times \$ 4.665307$,"$\$ 2,205.79$"
The highest average daily use of gas over the most recent billing months of November to March.,
"Balancing Charge 7,360.452 therms $\times \$ 0.097914$",$\$ 720.69$
"Societal Benefits 10,811.487 therms $\times \$ 0.051263$",$\$ 554.23$
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
"Total gas delivery charges $\$ 3,975.72$",
Total gas charges,"$\$ 3,975.72$"
