Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"$4,600 \mathrm{~kW} \times \$ 5.304348$"
The highest Measured Demand in any time period in the current month.,
Summer Demand,"$4,600 \mathrm{~kW} \times \$ 10.036957$"
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,$533 \mathrm{kWh} \times \$ 0.011144$
Societal Benefits,533 kWh $\times \$ 0.010413$
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,$\$ 87.10$
Supply charges,
BGS Capacity,
Generation,$10.443 \mathrm{~kW} \times \$ 1.740879$
Transmission,$9.432 \mathrm{~kW} \times \$ 13.294105$
Cost of electric supplied by PSE\&G:,
Charges,
For the first,$159 \mathrm{kWh} \times \$ 0.073270$
For the next,$374 \mathrm{kWh} \times \$ 0.064572$
Total electric supply charges,$\$ 179.37$
Total electric charges,$\$ 266.47$
