Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"15,900 kW x \$5.302516"
The highest Measured Demand in any time period in the current month.,
"Summer Demand 15,900 kW x \$10.037736",$\$ 159.60$
The Measured Demand (excluding off-peak) in each billing month of June through September.,
"kWh charges 5,360 kWh x \$0.011147",\$59.75
"Societal Benefits 5,360 kWh x \$0.010412",\$55.81
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",
Total electric delivery charges,$\$ 364.51$
Supply charges,
BGS Capacity,
Generation 4.589 kW x \$1.741120,\$7.99
Transmission 4.146 kW x \$13.289918,\$55.10
Cost of electric supplied by PSE\&G:,
Charges,
"For the first 1,608 kWh x \$0.073246",\$117.78
"For the next 3,752 kWh x \$0.064563",\$242.24
Total electric supply charges,$\$ 423.11$
Total electric charges,\$787.62
