3399,629,220,149,201,521,3991,8878,10790,12092,8173,5954,3184
MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,JAN,FEB,MAR,APR,MAY
$58^{\circ}$,$72^{\circ}$,$74^{\circ}$,$76^{\circ}$,$75^{\circ}$,$66^{\circ}$,$47^{\circ}$,$39^{\circ}$,$29^{\circ}$,$24^{\circ}$,$39^{\circ}$,$44^{\circ}$,$63^{\circ}$
