READ TYPE,METER NUMBER,CURRENT METER READ,PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total kWh,72791713,107043.0000 Actual,0.0000 Actual,107043.0000,1.0000,107043.0000
On Peak kWh,72791713,60660.0000 Actual,0.0000 Actual,60660.0000,1.0000,60660.0000
Off Peak kWh,72791713,46383.0000 Actual,0.0000 Actual,46383.0000,1.0000,46383.0000
Peak kW,72791713,405.7600 Actual,0.0000 Actual,405.7600,1.0000,405.7600
On Peak kW,72791713,405.7600 Actual,0.0000 Actual,405.7600,1.0000,405.7600
Off Peak kW,72791713,340.6400 Actual,0.0000 Actual,340.6400,1.0000,340.6400
