Read Dates,Meter Number,Load Type,Reading Type,Previous,,Present,,Difference,Multiplier,Usage
6/6-7/8,230184281,General Service,Off Pk kW,0.00,Actual,0.67,Actual,0.67,$\times 120$,80.76
6/6-7/8,230184281,General Service,On Pk kW,0.00,Actual,0.69,Actual,0.69,$\times 120$,83.21
6/6-7/8,230184281,General Service,Total kWh,13377,Actual,13653,Actual,276,$\times 120$,33120
