Rate Name,Units,Measurement,Unit Rate,Total
Day (0700- <br> 0000),97490.9,kWh,"13.024 p/win $£ 12,697.21$",
Night (0000- <br> 0700),30627.3,kWh,"9.963 p/kWh $£ 3,051.40$",
Total,128118.2,-,"- $£ 15,748.61$",
