TDU,Account Number,Service Address,City,State,Zip,Zone,Switch Type*,Start Date
Centerpoint,100890102078297946 <br> 1100,3430 HIGHWAY 6,Sugar <br> Land,TX,77478,HOUSTON,SS,$6 / 12 / 2017$
Centerpoint,100890100016117001 <br> 4100,569 S MASON,Katy,TX,77450,HOUSTON,SS,$6 / 2 / 2017$
Centerpoint,100890100018156001 <br> 2100,1005 BLALOCK RD,Houston,TX,77055,HOUSTON,SS,$6 / 7 / 2017$
