Month,Volume (Therm),Month,Volume (Therm)
Jan,"500,000",July,"35,000"
Feb,"450,000",Aug,"35,000"
Mar,"300,000",Sept,"55,000"
Apr,"200,000",Oct,"75,000"
May,"100,000",Nov,"250,000"
June,"65,000",Dec,"400,000"
