SERVICE ADORES,,,,
METER WS2327T - Multiplier $\times 80$,,,,
DESCRIPTION,CURRENT READING,PREVIOUS READING,MEASURED USAGE,BILLED USAGE
Total Energy,33918 Actual,33668 Actual,250,20000 kWh
Demand,Actual,,,48.8 kW
Billable Demand,,,,49 kW
