Meter and Usage,Usage History,,
Current Billing Days: 32,Mo,Yr,kWh
,Sep,18,150
Billable Usage,Oct,18,156
Schedule 1,08/08-09/09,Nov,18
Total kWh,175,Dec,18
,,Jan,19
Measured Usage,,Feb,19
Meter: 0084204649,08/08-09/09,Mar,19
Current Reading,10425,Apr,19
Previous Reading,10250,May,19
Total kWh,175,Jun,19
,,Jul,19
,,Aug,19
,,Sep,19
