Electricity Supply Charge,"37,625 kWh",,,"1,173.72"
Transmission Services Charge,"37,625 kWh",$X$,0.00845,317.93
Capacity Charge,109.38 kW,$X$,3.12153,341.43
Purchased Electricity Adjustment,,,,$-178.72$
Misc Procurement Component Chg,"37,625 kWh",$X$,0.00191,71.86
Delivery Services - ComEd,,,,\$656.37
Customer Charge,,,,23.52
Standard Metering Charge,,,,27.11
Distribution Facilities Charge,89.14 kW,$X$,6.31000,562.47
IL Electricity Distribution Charge,"37,625 kWh",$X$,0.00115,43.27
