Meter Information,,,,,,,,
Read <br> Dates,Meter <br> Number,Load <br> Type,Reading <br> Type,Previous,Meter Reading Present,Difference,Multiplier,Usage
3/3-,230024039,General Service,Total kWh,Actual,Actual,,,15
4/1,230024039,General Service,On Pk kW,Actual,Actual,,,0.02
3/3-,230083026,General Service,Total kWh,Actual,Actual,,,31633
3/3-,,,,,,,,
3/3-,230083026,General Service,On Pk kW,Actual,Actual,,,77.64
3/3-,,,,,,,,
3/3-,,,,,,,,
