Customer Charge,,,,17.28
Standard Metering Charge,,,,12.40
Distribution Facilities Charge,15.84 kW,$X$,6.20000,98.21
IL Electricity Distribution Charge,"3,279 kWh",$X$,0.00115,3.77
Taxes and Other,,,,\$53.26
Environmental Cost Recovery Adj,"3,279 kWh",$X$,0.00020,0.68
Energy Efficiency Programs,"3,279 kWh",$X$,0.00658,21.58
Franchise Cost,\$126.41,$X$,2.43500\%,3.08
State Tax,,,,10.68
