METER DEADING INFORMATION,,,
METER 10012405,,Read Dates: 03/12/20 - 04/10/20 (29 Days),
DESCRIPTION,CURRENT READING,PREVIOUS READING,USAGE
Total Energy,160226 Actual,156611 Actual,3615 ccf
Demand P00,,,54.00 Dth
