METER DEADING INFORMATION,,,
METER 71418990,,Read Dates: 03/11/20 - 04/09/20 (29 Days),
DESCRIPTION,CURRENT READING,PREVIOUS READING,USAGE
Total Energy,259219 Actual,253989 Actual,5230 kWh
Demand,Actual,,11.312 kW
Billable Demand,,,11 kW
