kWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,"15,339","214,231","223,642","210,739","212,846","199,667","207,991","198,566","184,628","227,956","227,023","208,844"
2020,"237,751","220,015","226,797","210,739","204,466","207,731","212,011","194,542","188,345","224,610","227,023","212,252"
2021,"230,928","7,651",,,,,,,,,,
