Supply,Transmission,Local Delivery,Public Benefits
$\$ 0.00$,$\$ 0.00$,$\$ 16.98$,$\$ 0.00$
Cost of electricity from supplier or Standard Service. This cost is deregulated but is based on competitive procurements and dependent on usage.,Cost to maintain high voltage towers and lines. Regulated by the Federal Energy Regulatory Commission. This charge is dependent on usage.,"Cost of UI to build, maintain, and repair poles, lines, and meters that deliver power from the substation. Regulated by PURA.",Cost to support energy programs authorized by the state. Charge dependent on usage.
