Month,Volume (Therm),Month,Volume (Therm)
Jan,"32,264",July,142
Feb,"26,928",Aug,265
Mar,"18,205",Sept,"1,121"
Apr,"8,365",Oct,"7,096"
May,561,Nov,"18,781"
June,124,Dec,"23,775"
