Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,1.000 kW x $\$ 5.300000$
The highest Measured Demand in any time period in the current month.,$\$ 5.30$
Summer Demand,$1.000 \mathrm{~kW} \times \$ 10.040000$
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,406 kWh x $\$ 0.011158$
Societal Benefits,406 kWh x $\$ 0.010419$
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",$\$ 4.53$
Total electric delivery charges,$\$ 29.14$
Supply charges,
BGS Capacity,
Generation,5.535 kW x $\$ 1.741644$
Transmission,4.999 kW x $\$ 13.292659$
Cost of electric supplied by PSE\&G:,
Charges,
For the first,121 kWh x $\$ 0.073223$
For the next,285 kWh x $\$ 0.064561$
Total electric supply charges,$\$ 103.35$
