"Reading Mar 27, 2022",5145
"Prior reading Mar 2, 2022",4954
Sub total,191
Converted to CCF $\times 1.012$,265.144
Converted to therms $\times 1.036$,274.690
Total gas you used,$\mathbf{2 7 4 . 6 9 0}$ therms
