kWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2020,,,"307,639","365,378","415,680","456,893","518,043","501,310","437,540","398,982","326,591","331,839"
2021,"332,961","310,266","355,532","365,378","415,680","456,893","512,696","504,558","437,540","395,846","328,905","334,037"
2022,"334,747","310,266","355,532","365,378","418,503","456,893","510,022","507,807","437,540","395,846","328,905","329,642"
2023,"334,747","310,266","22,938",,,,,,,,,
