KWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2024,,,,,,,,,,"18,605","414,678","625,751"
2025,"674,205","566,531","612,953","612,929","665,938","689,112","743,791","727,877","666,166","643,506","590,504","626,602"
2026,"674,112","566,531","614,268","612,929","664,371","690,527","745,885","727,877","666,166","623,044","177,282",
