Meter Information,,,,,,,,
Read <br> Dates,Meter <br> Number,Load <br> Type,Reading <br> Type,Previous,Meter Reading <br> Present,Difference,Multiplier <br> $\times$,Usage
$\begin{aligned} & 929- \\ & 1028 \end{aligned}$,230183277,General Service,Total kWh,Actual,Actual,,,60438
$\begin{aligned} & 928- \\ & 1028 \end{aligned}$,230182277,General Service,On Pk kW,Actual,Actual,,,89.81
