Month,kWh
Aug-16,216097
Sep-16,208009
Oct-16,193142
Nov-16,156728
Dec-16,228474
Jan-17,331438
Feb-17,328482
Mar-17,263908
Apr-17,267580
May-17,177139
Jun-17,161686
Jul-17,181049
Aug-17,223932
