Month,kWh
Sep-16,73377
Oct-16,50294
Nov-16,36035
Dec-16,45122
Jan-17,39448
Feb-17,40200
Mar-17,35167
Apr-17,36213
May-17,37414
Jun-17,41179
Jul-17,55262
Aug-17,60432
Sep-17,49864
