Monthly service charge,$\$ 5.04$
Charges for delivering electric to you:,
Annual Demand,"$5,100 \mathrm{~kW} \times \$ 5,301961$"
The highest Measured Demand in any time period in the current month.,$\$ 27.04$
Summer Demand,"$5,100 \mathrm{~kW} \times \$ 10,037255$"
The Measured Demand (excluding off-peak) in each billing month of June through September.,
kWh charges,"$1,907 \mathrm{kWh} \times \$ 0,011148$"
Societal Benefits,"$1,907 \mathrm{kWh} \times \$ 0,010414$"
"This charge recovers the cost of government mandated programs designed to achieve public policy goals, such as energy conservation.",$\$ 19.86$
Total electric delivery charges,$\$ 124.39$
Supply charges,
BGS Capacity,
Generation,"$4,120 \mathrm{~kW} \times \$ 1,740291$"
Transmission,"$3,721 \mathrm{~kW} \times \$ 13,294813$"
Cost of electric supplied by PSE\&G:,
Charges,
For the first,"$572 \mathrm{kWh} \times \$ 0,073252$"
For the next,"$1,335 \mathrm{kWh} \times \$ 0,064562$"
Total electric supply charges,$\$ 184.73$
