EIER NUMBER,CURRENT METER READ,PREVIOUS METER READ,READ DIFFERENCE,MULTIPLIER,USAGE
Total kWh,72792834,24185.0000 Actual,0.0000 Actual,24185.0000,1.0000,24185.0000
Peak kW,72792834,74.2720 Actual,0.0000 Actual,74.2720,1.0000,74.2720
