kWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2019,,,,,,,,,,"324,322","403,675","418,904"
2020,"423,003","395,235","441,203","490,488","605,459","633,933","704,983","733,984","629,692","506,534","403,875","421,723"
2021,"417,382","373,841","443,032","490,488","605,459","633,933","698,334","736,852","629,692","183,111",,
