Type of Service,Current Reading,-,Previous Reading,Difference,$\begin{aligned} & \text { Meter } \\ & \text { Multiplier } \end{aligned}$,Total Usage
Energy,86762,,83886,,1,2876 kWh
,,,,,Total Energy,2876 kWh
METER NUMBER,98641913,,NEXT SCHEDULED READ DATE ON OR ABOUT,,May 23,
SERVICE PERIOD,Mar 22 - Apr 21,,NUMBER OF DAYS IN PERIOD,30,,
RATE,General Service - Small,,G-1 VOLTAGE DElWERY LEVEL,$0-2.2 \mathrm{kv}$,,
