UDC,UDC Account Number,Service Address,Start Date,End Date,Energy Price Non TOU (\$/kWh)
CLP,51827575028185761008,"100 GREAT MEADOW RD, WETHERSFIELD, CT 06109-2355",$12 / 04 / 23$,$12 / 03 / 27$,$\$ 0.11420$
CLP,51876285065710114007,"Great Meadow Rd, Weathersfield, CT 06109-2378",$12 / 03 / 23$,$12 / 28 / 27$,$\$ 0.11420$
CLP,51998285001403861005,"100 GREAT MEADOWRD, WETHERSFIELD, CT 061092355",$12 / 27 / 23$,$12 / 26 / 27$,$\$ 0.11420$
