Power Sources,New England Power Pool <br> System Mix
Coal,$0.59 \%$
Natural Gas,$46.26 \%$
"Oil (Diesel, Jet, Oil)",$6.14 \%$
Nuclear,$24.92 \%$
Connecticut Qualified,$11.43 \%$
Renewable Sources,$10.66 \%$
"Other, Misc",$100.00 \%$
Total,
