Gas Meter Read for 06/21/2022 - 07/21/2022 (30 days),,,,,,
READ TYPE,METER NUMBER,CURRENT METER READ,PREVIOUS METER READ,READ DIFFERENCE,MULTIPLERE,USAGE
Total Therm,01142942,73835.0000 Actual,73592.0000 Actual,243.0000,1.1130,270.4500
