CHARGE,
$11.68$,
"$3,996.13$",
$135.36$,
"$2,180.80$",
$382.02$,
$214.32$,
"$1,024.22$",
$340.66$,
$28.52$,
$278.52$,
$57.52$,
$2.52$,
$340.66$,
$28.51$ CR,
$340.66$,
$278.52$,
$28.52$,
$578.52$,
$20.79$,
