MOTOR REASURE INFORMATION,,,,
METER RZ305210 - Multiplier $\times 300$,,,Read Dates: 03/11/20-04/09/20 (29 Days),
DESCRIPTION,CURRENT READING,PREVIOUS READING,MEASURED <br> USAGE,BILLED <br> USAGE
Total Energy,11660 Actual,11009 Actual,651,195300 kWh
Demand,Actual,,,400.8 kW
Billable Demand,,,,401 kW
