Amount Now Due: \$,53.49
"400,000 CCF @ \$. 331000",
55.000 CCF @ \$. 135700,
113.000 CCF @ \$. 476400,
113.000 CCF @ \$. 240800,
"455,000 CCF @ \$. 046000",
"455,000 CCF @ \$. 036800",
455.000 CCF @ \$. 009300,
455.000 CCF @ \$. 020240,
113.000 CCF @ \$. 203100,
