Environmental Cost Recovery Adj,"$4,262 \mathrm{kWh}$",$X$,0.00002,0.09
Energy Efficiency Programs,"$4,262 \mathrm{kWh}$",$X$,0.00558,28.04
Franchise Cost,$\$ 115.28$,$X$,$2.39600 \%$,2.76
State Tax,,,,13.82
For Electric Supply Choices visit,,,,
plugimillinois.org,,,(continued on next page),
