KWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2025,,,,,"52,949","416,433","398,549","456,548","378,312","322,042","279,929","286,791"
2026,"279,314","256,259","292,206","318,361","354,201",,,,,,,
