Monthly kWh Use - On Peak,,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
21300,23100,21900,23100,22500,19200,20100
Dec,Jan,Feb,Mar,Apr,May,
19200,17100,18000,16200,21600,19800,
Monthly kWh Use - Off Peak,,,,,,
May,Jun,Jul,Aug,Sep,Oct,Nov
37800,47700,45600,50400,40500,32400,38400
Dec,Jan,Feb,Mar,Apr,May,
31500,28200,33000,27000,34800,34200,
