folder_name,pdf_file_size_kb,md_file_size_kb,md_line_count,md_character_count,jpeg_count_in_images_folder
document_637,41.572265625,1.689453125,31,1730,0
document_809,103.125,8.7470703125,220,8918,3
document_207,806.8779296875,1.9287109375,62,1975,2
document_697,12366.5361328125,50.45703125,193,51668,0
document_238,598.40625,6.12109375,230,6261,3
document_1112,5977.845703125,38.380859375,299,39299,1
document_690,20.3369140625,10.38671875,114,10636,0
document_456,264.0830078125,14.8046875,77,15160,0
document_469,500.3115234375,8.310546875,293,8497,4
document_831,802.1298828125,6.8544921875,229,7014,4
document_494,116.1923828125,4.109375,149,4206,3
document_652,171.5537109375,1.73046875,36,1772,0
document_236,580.734375,4.41796875,191,4524,3
document_838,232.5498046875,7.5947265625,181,7773,4
document_699,363.5380859375,1.87890625,52,1924,1
document_807,107.0234375,7.298828125,192,7461,3
document_209,142.4619140625,77.7412109375,531,79607,1
document_655,171.5537109375,1.7275390625,36,1769,0
document_467,499.4208984375,8.357421875,334,8545,4
document_493,116.1923828125,4.0830078125,145,4177,3
document_458,357.4765625,4.4091796875,144,4515,1
document_1124,249.87890625,1.5234375,76,1560,0
document_1147,38.826171875,7.9033203125,142,8093,1
document_299,1890.8662109375,18.2939453125,533,18733,1
document_863,27.4970703125,0.8125,11,832,0
document_609,9903.9111328125,118.8818359375,3651,121697,22
document_255,771.712890625,5.859375,228,6000,5
document_403,12.9609375,0.65234375,36,668,0
document_631,754.5341796875,46.7919921875,237,47914,1
document_852,1129.8828125,6.8798828125,179,7040,2
document_638,1685.86328125,11.265625,264,11527,7
document_435,913.5888671875,10.5390625,229,10765,3
document_607,1147.1591796875,8.6474609375,245,8848,2
document_263,608.2919921875,5.5595703125,197,5680,4
document_1149,1282.396484375,5.94140625,190,6084,2
document_297,726.9580078125,7.4404296875,214,7606,6
document_899,27.6806640625,2.9814453125,67,3053,0
document_855,800.3369140625,6.599609375,228,6753,4
document_264,626.3857421875,31.6015625,204,32360,4
document_600,966.439453125,16.373046875,315,16762,2
document_432,368.845703125,32.0634765625,229,32833,1
document_230,749.28515625,6.9794921875,117,7147,8
document_466,379.625,39.3994140625,197,40341,1
document_654,171.5537109375,1.7734375,37,1816,0
document_459,793.427734375,28.2021484375,213,28879,3
document_653,171.5537109375,1.7734375,37,1816,0
document_461,8822.119140625,24.822265625,158,25418,1
document_839,232.5498046875,7.4384765625,181,7613,4
document_208,142.4619140625,77.720703125,530,79586,1
document_806,112.4775390625,8.1201171875,200,8275,2
document_698,388.892578125,2.49609375,41,2556,0
document_1122,626.7958984375,6.7578125,218,6920,0
document_201,78.5224609375,6.90625,131,7070,0
document_665,492.857421875,7.056640625,212,7213,4
document_457,265.884765625,34.7080078125,165,35541,0
document_691,20.3369140625,10.38671875,114,10636,0
document_830,802.1298828125,6.2841796875,209,6430,2
document_1114,852.05078125,23.232421875,147,23788,0
document_696,670.5419921875,2.2724609375,99,2321,1
document_206,806.8779296875,2.02734375,62,2076,2
document_808,107.15234375,8.2080078125,290,8405,3
document_1113,4107.6044921875,4.3017578125,120,4405,1
document_837,1130.154296875,6.599609375,206,6753,2
document_1095,513.705078125,6.861328125,182,7023,4
document_374,2671.048828125,9.55859375,161,9788,1
document_522,416.14453125,54.00390625,549,55300,1
document_710,426.2001953125,3.4521484375,73,3535,1
document_20,4613.6279296875,20.3740234375,105,20863,0
document_380,99.28515625,11.2294921875,149,11499,1
document_1066,276.9287109375,6.9658203125,204,7122,6
document_1092,541.908203125,9.4228515625,248,9646,7
document_942,1271.4404296875,8.1669921875,171,8340,2
document_728,2248.2392578125,38.1494140625,211,39065,5
document_989,2632.5361328125,28.2890625,174,28968,1
document_387,2666.5107421875,21.431640625,921,21946,4
document_27,908.2294921875,10.70703125,273,10964,3
document_525,120.6806640625,28.9296875,180,29624,0
document_141,487.587890625,74.4755859375,372,76262,0
document_1050,557.8037109375,5.6630859375,179,5799,5
document_980,1426.8525390625,7.58984375,189,7763,5
document_974,6282.5654296875,11.0458984375,256,11311,11
document_183,9222.5107421875,54.9794921875,1031,56299,8
document_177,844.810546875,15.0908203125,453,15453,2
document_345,219.8134765625,6.5849609375,210,6740,1
document_721,1673.0322265625,10.5263671875,271,10775,9
document_973,6265.01953125,11.3046875,215,11574,9
document_719,5268.9912109375,348.0576171875,9610,356258,100
document_29,307.9384765625,8.033203125,170,8226,4
document_987,287.3525390625,27.841796875,91,28510,0
document_1057,626.7958984375,6.5712890625,212,6729,0
document_389,370.513671875,17.880859375,230,18309,0
document_514,5233.1083984375,129.296875,3646,132276,55
document_726,1416.95703125,9.1787109375,185,9399,1
document_170,70.525390625,3.4326171875,131,3498,0
document_1068,276.9287109375,6.998046875,206,7155,6
document_184,9222.5107421875,54.6201171875,1007,55931,8
document_16,8506.8095703125,28.7177734375,317,29407,12
document_772,6097.7021484375,330.4541015625,5353,338308,27
document_540,118.1435546875,11.79296875,231,12066,3
document_124,1417.8427734375,57.1025390625,698,58473,3
document_918,157.5888671875,3.9736328125,79,4069,2
document_786,6097.7021484375,382.0986328125,5348,391192,26
document_42,342.640625,22.05078125,407,22579,8
document_329,84.0390625,14.3994140625,155,14745,0
document_927,1326.00390625,9.2333984375,177,9436,1
document_89,525.53515625,4.759765625,188,4873,1
document_1003,1330.8974609375,13.6865234375,302,14011,8
document_781,6097.7021484375,360.9580078125,5356,369544,26
document_311,745.013671875,4.5126953125,144,4618,2
document_123,1417.8427734375,12.1025390625,192,12393,3
document_547,539.7890625,36.2939453125,218,37163,2
document_775,6097.7021484375,394.0732421875,5256,403454,26
document_1004,312.443359375,9.357421875,154,9576,0
document_578,2931.41796875,41.6787109375,607,42419,1
document_585,3151.7939453125,14.9853515625,110,15331,1
document_73,416.14453125,54.1728515625,550,55473,1
document_571,324.8994140625,16.6748046875,88,17075,0
document_743,1663.033203125,15.23828125,347,15604,6
document_327,222.4384765625,7.5859375,119,7768,1
document_788,565.404296875,5.990234375,155,6133,3
document_1032,606.5556640625,5.4111328125,196,5540,1
document_916,157.5888671875,4.0419921875,79,4139,2
document_318,801.623046875,8.4384765625,254,8629,4
document_112,96.8740234375,35.380859375,203,36230,0
document_320,781.0830078125,7.4248046875,208,7599,5
document_80,197.65625,5.8798828125,195,6019,1
document_744,270.263671875,3.4619140625,107,3543,2
document_576,2931.41796875,41.6591796875,607,42399,1
document_74,416.14453125,54.009765625,549,55306,1
document_582,2931.41796875,41.6162109375,606,42355,1
document_911,2754.2705078125,23.98046875,168,24554,3
document_28,248.830078125,8.26171875,114,8460,0
document_1056,7828.3857421875,40.3984375,223,41367,3
document_388,36.6064453125,4.978515625,103,5098,0
document_986,41.044921875,5.4033203125,142,5533,1
document_972,6264.734375,11.6337890625,252,11913,9
document_718,550.8037109375,47.732421875,204,48876,2
document_185,9222.5107421875,54.701171875,968,56012,7
document_1069,717.583984375,5.4365234375,166,5557,3
document_17,48.5634765625,2.6103515625,74,2673,0
document_515,3891.32421875,99.5361328125,2537,101833,37
document_343,1151.0,53.82421875,265,55114,3
document_975,6265.01953125,10.888671875,208,11148,9
document_981,106.7919921875,0.9365234375,30,959,0
document_1051,626.7958984375,6.7578125,218,6920,0
document_344,233.833984375,9.4794921875,275,9704,2
document_176,2098.7578125,115.7685546875,2420,118518,38
document_512,1594.828125,45.0986328125,1338,46145,16
document_720,106.8017578125,0.9599609375,30,983,0
document_182,9222.5107421875,72.0185546875,974,73745,7
document_1093,513.662109375,7.74609375,208,7931,4
document_729,1431.529296875,26.642578125,158,27282,1
document_19,152.0166015625,5.921875,166,6064,0
document_524,7241.9462890625,6.662109375,189,6820,2
document_716,819.650390625,2.94921875,95,3014,4
document_140,1713.51953125,19.7451171875,423,20219,1
document_1058,1327.1044921875,36.869140625,238,37754,3
document_386,425.8173828125,39.603515625,169,40554,1
document_988,487.55859375,7.6123046875,290,7786,2
document_26,2915.4443359375,31.0810546875,213,31825,3
document_1060,1752.89453125,6.4375,248,6586,1
document_1094,513.33984375,7.162109375,174,7330,5
document_178,16563.638671875,117.9111328125,2444,120735,28
document_381,99.0048828125,9.25,151,9472,2
document_147,93.2978515625,32.7392578125,220,33525,0
document_375,118.7177734375,3.26171875,101,3340,1
document_711,421.7666015625,1.703125,44,1744,1
document_523,416.14453125,54.166015625,552,55466,1
document_583,3151.7939453125,14.5947265625,101,14931,1
document_75,416.14453125,53.97265625,550,55268,1
document_321,548.1416015625,5.1689453125,148,5293,3
document_113,1417.8427734375,6.1796875,197,6328,3
document_577,3151.7939453125,14.591796875,100,14928,1
document_745,270.263671875,3.4599609375,108,3541,2
document_1034,3550.9345703125,50.3828125,996,51580,19
document_548,358.7255859375,35.357421875,177,36204,1
document_910,8962.04296875,69.1650390625,2324,70823,7
document_86,203.6474609375,4.6748046875,153,4786,1
document_742,1663.033203125,15.0439453125,337,15405,6
document_114,109.8779296875,35.671875,196,36528,1
document_326,149.2080078125,20.0986328125,118,20581,1
document_72,1588.0390625,27.1533203125,267,27788,1
document_319,760.8818359375,23.9912109375,215,24554,3
document_917,638.2001953125,40.048828125,237,41010,2
document_789,588.8544921875,4.935546875,151,5054,1
document_1033,6934.951171875,57.619140625,306,59002,5
document_122,1417.8427734375,12.4453125,486,12744,3
document_310,732.5166015625,5.7626953125,155,5900,1
document_546,210.3232421875,5.80859375,192,5946,1
document_780,6097.7021484375,379.7705078125,5331,388808,27
document_44,534.7236328125,52.6884765625,419,53953,7
document_579,3151.7939453125,14.591796875,100,14928,1
document_921,747.736328125,43.9287109375,235,44982,1
document_787,322.23828125,47.513671875,196,48654,0
document_43,534.7236328125,52.3466796875,405,53603,7
document_541,384.6728515625,55.7705078125,215,57109,0
document_773,6097.7021484375,333.6396484375,5240,341570,26
document_317,833.8173828125,6.7568359375,270,6906,4
document_919,638.2001953125,40.041015625,237,41002,2
document_125,1417.8427734375,57.712890625,123,59098,3
document_328,271.6015625,51.697265625,187,52938,0
document_353,240.3447265625,10.1357421875,304,10376,2
document_161,13426.4951171875,37.263671875,1064,38067,5
document_505,5452.8193359375,143.1806640625,3602,146501,51
document_737,664.5,5.3037109375,135,5423,3
document_1079,137.5927734375,11.2958984375,284,11563,6
document_195,7517.134765625,40.9091796875,140,41891,1
document_708,899.57421875,9.107421875,789,9326,1
document_962,745.708984375,1.6982421875,64,1738,2
document_996,413.6396484375,5.951171875,198,6094,0
document_1046,385.4560546875,14.126953125,599,14466,12
document_398,52.021484375,4.4697265625,102,4577,1
document_38,130.3349609375,32.1181640625,196,32889,0
document_192,89.1318359375,17.921875,357,18352,0
document_730,478.8828125,8.2822265625,267,8481,1
document_502,2460.6669921875,61.1630859375,1646,62572,22
document_354,1381.5869140625,19.73828125,618,20207,5
document_991,2266.9091796875,28.2265625,181,28904,1
document_159,68.3662109375,44.9267578125,213,46004,0
document_965,558.3525390625,37.892578125,321,38800,0
document_36,570.62890625,47.046875,231,48176,0
document_998,438.8271484375,9.572265625,138,9802,2
document_1048,626.7958984375,34.03515625,219,34852,0
document_396,478.853515625,28.6484375,243,29336,2
document_150,35.568359375,3.658203125,115,3746,1
document_362,2670.7978515625,9.5732421875,180,9803,2
document_706,1071.8935546875,1.451171875,45,1486,1
document_739,664.5,5.107421875,132,5222,3
document_953,450.3037109375,86.3974609375,149,88470,1
document_533,5807.61328125,39.9814453125,1035,40907,14
document_701,1444.763671875,11.7451171875,475,12027,5
document_365,2672.4697265625,10.6728515625,185,10929,1
document_157,4324.34765625,37.099609375,261,37989,6
document_168,250.4287109375,7.8623046875,151,8049,3
document_954,311.544921875,10.4443359375,242,10693,2
document_1084,71.095703125,39.76953125,212,40723,0
document_1070,276.7529296875,8.0966796875,239,8280,8
document_900,27.2734375,3.341796875,85,3422,2
document_558,1526.42578125,91.279296875,1750,93469,11
document_1024,112.7900390625,8.7412109375,250,8932,1
document_755,1405.8798828125,45.490234375,364,46582,3
document_91,179.2099609375,10.1572265625,153,10401,0
document_103,231.115234375,6.75390625,172,6914,0
document_331,289.96484375,11.4375,382,11711,8
document_65,303.0751953125,9.548828125,280,9775,1
document_593,498.5283203125,3.6337890625,87,3721,2
document_1023,105.736328125,11.2392578125,314,11503,2
document_799,226.634765625,30.138671875,147,30862,0
document_907,127.40625,2.0888671875,54,2139,1
document_309,586.44140625,4.783203125,166,4885,2
document_594,458.8955078125,3.259765625,97,3338,1
document_62,3706.6025390625,40.6640625,236,41640,1
document_336,404.125,19.7734375,183,20246,2
document_8,4719.2373046875,32.599609375,389,33382,1
document_104,87.462890625,6.7138671875,75,6875,0
document_560,608.6728515625,10.2490234375,252,10495,3
document_752,512.8623046875,38.7431640625,332,39670,1
document_96,527.30078125,3.224609375,135,3302,1
document_1015,8661.072265625,37.9990234375,230,38910,4
document_931,10630.50390625,88.505859375,1670,90508,15
document_54,702.0771484375,9.724609375,110,9958,2
document_790,385.296875,4.3310546875,165,4432,3
document_556,3631.81640625,7.4609375,175,7640,3
document_764,1057.185546875,57.5703125,337,58952,3
document_300,759.08203125,6.8369140625,243,6997,4
document_98,527.232421875,2.962890625,132,3033,1
document_338,404.125,19.7607421875,180,20233,2
document_6,4719.2373046875,32.4111328125,390,33189,1
document_936,316.3095703125,1.9306640625,66,1977,2
document_1012,1233.359375,10.640625,265,10893,7
document_909,90.671875,2.876953125,96,2946,1
document_307,654.7763671875,19.337890625,171,19801,2
document_551,149.349609375,19.6943359375,100,20167,0
document_53,710.162109375,31.0869140625,118,31832,0
document_797,1057.943359375,43.6220703125,263,44668,0
document_390,36.6064453125,4.978515625,103,5098,0
document_30,1546.982421875,114.6826171875,3134,117377,35
document_700,585.4990234375,2.619140625,91,2669,2
document_532,5807.61328125,41.109375,1147,42040,16
document_156,4036.21484375,45.921875,5032,47018,16
document_364,2670.98828125,9.400390625,162,9626,1
document_1071,163.3544921875,3.134765625,112,3210,0
document_1085,881.5537109375,39.7939453125,214,40748,2
document_363,8363.509765625,44.16015625,316,45219,5
document_151,275.2509765625,12.46875,239,12756,2
document_707,226.7216796875,36.0595703125,175,36925,1
document_37,320.97265625,19.7158203125,363,20188,9
document_1049,561.271484375,5.3046875,204,5432,5
document_999,368.619140625,6.1552734375,169,6303,2
document_738,1304.9736328125,65.4013671875,911,66963,5
document_952,311.544921875,10.8154296875,231,11075,2
document_1082,244.701171875,7.4658203125,110,7645,1
document_1076,14252.09375,59.048828125,561,60465,17
document_731,580.4560546875,20.25390625,228,20737,4
document_355,548.66796875,7.7939453125,255,7978,2
document_167,2410.0771484375,15.39453125,361,15725,1
document_193,7517.134765625,40.646484375,131,41622,0
document_158,3674.09375,23.24609375,620,23802,12
document_990,553.3974609375,31.6943359375,1180,32415,8
document_194,89.1318359375,17.921875,357,18352,0
document_160,104.69140625,1.5830078125,62,1621,1
document_352,242.20703125,10.548828125,331,10799,2
document_736,1304.9736328125,64.490234375,914,66034,5
document_997,1462.0927734375,36.1796875,1128,37048,11
document_39,342.5771484375,20.869140625,375,21368,8
document_709,4239.85546875,33.4208984375,153,34223,0
document_963,47.87109375,3.0205078125,96,3093,1
document_1013,1777.7919921875,13.9853515625,354,14314,10
document_99,527.3310546875,3.1240234375,143,3195,1
document_7,4719.2373046875,32.44140625,378,33220,1
document_937,1253.529296875,8.046875,144,8222,1
document_52,3720.703125,9.609375,276,9840,4
document_796,520.30859375,11.5126953125,361,11787,9
document_306,623.6201171875,6.140625,197,6275,3
document_134,1417.8427734375,52.251953125,144,53506,3
document_908,593.1748046875,32.2041015625,156,32975,0
document_550,244.4130859375,7.234375,103,7408,0
document_762,264.5263671875,32.51953125,141,33299,0
document_0,7376.287109375,66.388671875,411,67980,2
document_930,10630.50390625,87.4072265625,1694,89388,16
document_568,90.3232421875,6.72265625,200,6878,1
document_765,6097.7021484375,354.078125,5303,362499,26
document_557,650.0576171875,19.359375,190,19824,3
