PJM,Value
Energy,Included
Ancillaries,Pass Through
Auction Revenue Rights (ARR),Included
Capacity,Pass Through
Losses,Utility Defined Loss Factor Pass Through
Marginal Loss Credits,Included
Reliability Must Run,Pass Through
RPS,Pass Through
Transmission,Pass Through
Applicable Taxes,Included
