KWh,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2021,,,,,,,,,,,"253,481","337,363"
2022,"328,368","292,468","288,313","235,331","243,463","353,922","404,395","366,742","319,700","254,476","271,587","336,911"
2023,"328,368","292,468","288,313","234,714","243,925","353,922","404,395","366,742","319,825","254,117","271,587","336,735"
2024,"328,632","302,680","287,098","235,947","243,925","354,189","406,494","365,869","319,825","253,759","18,130",
