250,4067055587,7031-33 S CHAPPEL,11,0153010,0153020,0.2545,0.228,0.25,309,297,301,272,272,256,269,286,280,304,277,281,"3,404"
251,9160545028,50 S SAGNAW,13,0173010,0173020,0.3708,0.329,0.32,370,275,288,281,293,265,283,284,266,290,283,311,"3,489"
252,9105545046,7317-25 CHAPPEL,12,0163010,0163020,0.8882,0.851,0.81,916,846,845,779,744,664,678,658,612,702,780,866,"9,094"
253,9273023527,1935-5 T-57 S F FERL,12,0163010,0163020,1.1636,0.897,0.93,638,684,704,655,713,578,662,657,574,580,567,583,"7,596"
254,8596055060,7026-36 CL-YDE BD,11,0153010,0153020,1.8225,1.721,1.78,"1,252","1,175","1,261","1,272","1,328","1,270","1,327","1,335","1,537","1,059","1,143","1,228","14,785"
255,9364310528,701 N LOTUS AVEA S.,15,0313010,0313020,0.9235,0.364,0.33,750,706,596,448,320,240,224,186,164,241,561,714,"5,153"
262,8940158060,7608-12 S COLES AVE,13,0173010,0173020,0.6301,0.314,0.38,256,338,378,351,309,279,284,313,302,311,306,340,"3,881"
263,9525357527,6356 S FAMACIGCO AVE,12,0163010,0163020,0.669,0.345,0.345,0.40,338,268,283,279,296,271,267,244,235,350,305,324
264,8940144554,7615-9 S COLES,13,0173010,0173020,1.5965,0.814,0.86,915,791,846,767,726,698,727,796,761,724,732,784,"8,374"
265,9612555066,7914 S HERMTAGE AVE,13,0173010,0173020,0.5107,0.995,8.31,"5,049","4,173","4,161","3,834","3,337","3,385","4,075","4,506","3,845","3,542","4,370","5,308","46,403"
266,8940027545,7825-30 COLES,13,0173010,0173020,0.9075,0.484,0.58,780,636,693,629,587,548,621,633,511,506,629,745,"7,517"
267,9616055067,7938 S HERMTAGE AVE,15,0313010,0313020,0.6722,0.18,0.14,160,250,225,213,191,90,79,88,81,86,96,107,"1,843"
268,4170009000,2845-5 T7TH ST,13,0173010,0173020,2.3726,2.012,2.08,"4,090","4,256","2,601","1,849","1,722","1,572","1,675","1,791","1,693","1,830","2,539","3,590","29,502"
269,9696155075,2041-5 TOH IS #43,13,0173010,0173020,0.1567,0.154,0.17,413,331,326,361,354,296,371,358,283,271,280,351,"3,995"
