517,7320522028,5040-42 W GLINCY ST,4,5/6/2019,5/6/2020,0.6221,0.662,0.69,"2,664","3,000","3,138","2,498",481,446,401,440,594,"1,303","1,890","1,609","19,123"
518,6310282043,1249 S FARFIELD,2,5/2/2019,5/2/2020,0.7886,1.45,1.89,"5,828","5,477","5,816","5,369","1,619","1,162","1,074","1,109","1,142","1,856","2,722","4,471","37,648"
519,7332813202,1606 N KINHTOR AVIL BLDG,9,5/12/2019,5/12/2020,0,0.00403752,0.00,2,2,2,2,2,2,2,2,2,2,2,2,24
520,5722557016,819-21 S INDEPENDENCE BLV,2,5/2/2019,5/2/2020,0.2244,0.685,0.75,890,"1,078",481,119,200,276,415,433,315,207,245,627,"5,285"
Total,,,,,,,,"1,073,162","1,057,784","1,018,758","923,302","558,706","433,262","437,982","436,717","394,774","496,497","783,813","1,017,327","8,534,102"
