,Readings,Multiplier,Usage,Amount,Total
GAS,12/18/20,11/19/20,,,
G-10 Commercial Gas \#440306,3521397,3490645,1,30752,"12,934.64"
includes Purchased Gas Adjustment of -0.0640000/ccf,,,,,
G-10 Demand \#440306,1199,1056,1,1199,0.00
Demand: Actual: 1199.00,Billed: 3209.00,,,,"12,934.64"
