Readings,Multipiler,Usage,Amount,Total
GAS,12/18/20,11/19/20,130752,"12,934.64"
G-10 Commercial Gas,440306,3521397,1199,0.00,"12,934.64"
G-10 Demand,440306,1199,1056,1,"12,934.64"
