ELECTRIC,12/18/20,11/19/20,1500,151500,"37,919.50"
E-2 Commercial Electric,4100,3999,1103,1386,"13,834.11"
E-2 Demand,4100,1386,1,1103,"13,834.11"
Demand: Actual: 1103.00,Billed: 1103.00,8400,8090,1500,465000,0.00,"51,753.61"
