Volume Type :,Monthly,,
December,"24,000",June,"24,000"
January,"23,000",July,"24,500"
February,"21,000",August,"24,500"
March,"21,000",September,"24,500"
April,"22,000",October,"24,500"
May,"23,000",November,"24,000"
